,lettr,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar
575,0,3,5,6,4,2,9,2,2,7
576,0,2,4,4,6,2,8,3,3,8
577,0,5,8,8,7,7,7,7,2,7
578,0,2,7,4,4,1,8,4,3,8
579,0,3,9,5,6,3,10,3,2,7
580,0,2,1,3,1,1,7,4,2,8
581,0,3,8,6,6,3,11,2,2,9
582,0,4,9,3,4,2,13,3,4,10
583,0,2,8,4,6,2,12,2,4,9
584,0,3,9,5,6,3,10,3,2,7
585,0,2,4,4,3,2,10,2,2,9
586,0,2,6,4,4,3,8,3,2,8
587,0,6,12,6,6,5,9,4,5,11
588,0,2,8,4,5,2,7,5,3,7
589,0,3,3,5,4,1,7,6,3,8
590,0,5,10,7,8,5,8,4,3,8
591,0,2,6,4,4,2,11,3,3,8
592,0,2,2,4,4,2,8,2,2,7
593,0,1,0,2,0,0,7,3,2,8
594,0,1,1,2,2,1,7,3,2,7
595,0,2,7,4,5,2,11,3,3,8
596,0,2,7,4,5,2,8,3,2,7
597,0,3,10,6,8,5,10,4,1,7
598,0,2,3,3,1,1,8,2,2,7
599,0,4,5,6,4,4,8,7,3,6
600,0,4,10,6,8,3,10,3,2,9
601,0,4,8,6,6,5,9,5,2,7
602,0,2,5,4,4,2,5,3,2,6
603,0,5,9,7,7,4,8,5,3,8
604,0,2,6,3,4,2,12,4,3,8
605,0,3,11,6,8,3,11,2,3,8
606,0,2,7,4,5,2,10,3,2,8
607,0,3,5,5,3,2,11,2,2,8
608,0,5,11,8,8,5,8,2,2,7
609,0,5,11,9,8,7,10,5,1,8
610,0,1,1,2,1,0,7,4,2,8
611,0,3,7,5,5,3,10,4,1,7
612,0,4,6,6,6,5,7,8,2,7
613,0,4,8,6,6,4,11,3,2,8
614,0,2,3,4,2,2,9,1,2,7
615,0,2,7,4,5,3,11,2,2,7
616,0,4,10,5,7,4,9,4,3,8
617,0,3,10,5,8,4,12,3,2,8
618,0,4,10,6,8,5,12,3,2,8
619,0,4,5,6,4,4,8,8,3,5
620,0,3,7,5,5,3,11,2,3,9
621,0,3,9,6,7,3,11,2,3,8
622,0,3,8,5,5,2,10,5,3,9
623,0,2,5,4,4,2,7,2,2,7
624,0,2,6,4,4,2,10,3,1,8
625,0,8,12,6,6,3,10,1,2,8
626,0,4,8,6,6,6,8,8,7,4
627,0,3,7,5,5,3,11,3,2,8
628,0,5,11,8,8,4,10,2,2,8
629,0,4,10,6,7,2,7,5,3,8
630,0,6,10,7,6,3,12,0,4,11
631,0,5,11,7,8,7,8,7,7,3
